state,UID,STATEID,latitude,longitude,pop,rent_mean,rent_stdev,hi_mean,hc_mortgage_mean,hc_mean,second_mortgage,home_equity,debt,hs_degree,male_age_mean,female_age_mean,pct_own,married,separated,divorced
Ohio,272320.50784313725,39.0,40.51897774862748,-82.69698975751639,3997.918954248366,818.5007620653591,313.286559281046,62005.052904777825,1289.341128091504,475.9918287124179,0.032050222222222216,0.12091979084967314,0.6360401241830069,0.8779333202614381,38.605745084967296,40.812169339869264,0.6530852679738567,0.4933069803921567,0.01676546405228757,0.11535696732026146
Oklahoma,274331.3381818182,40.0,35.64725102418181,-96.85215588799998,3665.5763636363636,790.3073610181809,306.03318578181813,59261.24305438181,1169.8630488181811,404.67936943636363,0.02140767272727274,0.04285123636363636,0.5483874181818177,0.85447570909091,37.41982723636365,39.193062236363645,0.6424949636363638,0.5211956909090909,0.019688690909090926,0.12936741818181827
Oregon,275266.6167400881,41.0,44.736367812775356,-122.49883951057268,4762.420704845815,1022.4835504845821,415.42051707048444,67232.48296594714,1644.4503583039648,514.0077645374447,0.04004367841409693,0.11699493392070477,0.6653398237885463,0.895480792951541,39.57883484581499,41.22605715859027,0.6271531057268727,0.5229885903083704,0.015660154185022035,0.11863143171806166
Pennsylvania,277314.1068524971,42.0,40.46150292224164,-77.07447895923352,3932.286295005807,941.7148973867597,361.9862676016261,68826.03071474454,1485.8392014111494,553.0826269396052,0.023946777003484333,0.11201623112659713,0.597791202090593,0.8846473228803722,39.310471968641,41.750441608594684,0.6906201684088278,0.5021319221835072,0.02072551103368176,0.0883062253193962
Puerto Rico,279376.5606694561,72.0,18.28976829393303,-66.3277609127615,3843.5481171548117,508.7503986610879,230.04643541841006,28232.703662531378,931.5269131380742,192.04132847280337,0.009804225941422592,0.012219456066945609,0.3641624267782428,0.7041607531380759,38.02919753138077,40.75269755230126,0.6519620920502093,0.4015434937238494,0.026281213389121334,0.12052834728033464
Rhode Island,279960.873015873,44.0,41.743028434920646,-71.44004995873016,4178.309523809524,1049.098053015873,428.83351730158734,75324.7123772222,1870.8074043650795,710.2275571428573,0.040293174603174595,0.1499624603174603,0.6992242063492063,0.8618025396825397,39.03569428571427,41.54239246031745,0.6244253968253969,0.4990217460317461,0.01460936507936508,0.09885579365079367
South Carolina,280635.25402504473,45.0,34.026702436314864,-81.0260914357783,4397.87656529517,851.8839013774593,327.7198738282645,58342.396361985724,1262.735751413239,397.794694919499,0.023704812164579595,0.08246720930232558,0.5701578533094815,0.8434255813953493,38.541348497316676,40.71012561717353,0.6657001788908758,0.5187962432915924,0.03144203935599286,0.09958051878354196
South Dakota,281297.46456692915,46.0,44.081010407874,-98.95717928976381,3696.5748031496064,671.4488291338586,325.0795413385826,63005.12546031497,1268.1307593700787,462.6235219685039,0.017598582677165346,0.060046456692913384,0.5186555118110237,0.9051851968503939,39.08616944881891,40.7407737007874,0.7097542519685044,0.5444445669291336,0.009673858267716532,0.10436440944881892
Tennessee,282161.59487179486,47.0,35.8352276879487,-86.37503388846164,4295.1038461538465,823.1808842820508,310.2806181410258,58854.35566416669,1247.7540619743586,408.9276947307684,0.02503039743589743,0.0759506794871794,0.5841843076923081,0.8370955256410264,38.14763310256407,40.20714191025639,0.6519806282051276,0.5180510641025643,0.020477397435897444,0.1179299487179487
Texas,285509.4515184779,48.0,30.94712378251,-97.4789760490304,5064.807903402854,982.3315224588373,351.2650237321623,69124.77817582517,1438.9297091694114,532.3111124844498,0.01672605195755579,0.036490907427735184,0.5433229527991233,0.8008919648737669,35.92208682400283,37.65135424442005,0.6282184193194296,0.5250899487742421,0.022453373582144193,0.0975854848152215
Utah,288467.62576687115,49.0,40.43074762239264,-111.87558164877298,4874.101226993865,1067.7593735582818,386.78034815950906,75449.00121098156,1514.8869276380362,424.0109968711656,0.04321791411042945,0.11166613496932513,0.6878560736196316,0.9021274539877304,33.30163466257668,34.34031303680982,0.6940303374233121,0.5718190184049079,0.013306042944785264,0.08036104294478529
Vermont,290762.8829787234,50.0,44.036159055319146,-72.74330556489365,3335.925531914894,934.4835122340428,381.7051771276595,67113.48486287233,1619.3161944680853,680.9249958510638,0.017178829787234045,0.11821510638297869,0.62414,0.9035604255319148,41.12022489361703,42.54225106382978,0.7334990425531914,0.5338128723404256,0.012670212765957452,0.11532478723404262
Virginia,289708.65934065933,51.0,37.78976818651352,-77.750606037063,4284.266733266733,1295.190009530468,435.65429330669315,85248.36647929066,1776.352835314686,535.8894860239752,0.04111082917082917,0.13595107892107897,0.6914405094905094,0.8735730769230774,37.61847193806198,39.47274001997999,0.6440807292707292,0.5321118081918083,0.02315034965034967,0.08952554445554445
Washington,291593.5739130435,53.0,47.341819940621164,-121.54532243465842,4803.71552795031,1130.1238538881985,442.9422054409937,76220.42471026091,1763.6054903354036,543.9526269192545,0.036703552795031055,0.11528129192546589,0.6816754534161493,0.894845440993789,38.178944583850964,39.63696137888203,0.6252471180124229,0.5228284844720495,0.01531550310559007,0.10953934161490697
West Virginia,293954.2113207547,54.0,38.852742520000014,-80.73543561886791,3946.37358490566,674.7191203018867,270.1087184528301,54518.85243554721,1054.2599167924525,329.7806101509433,0.014840679245283017,0.05496135849056605,0.47548966037735846,0.8542733584905661,40.70328166037735,42.78294750943393,0.7208947169811322,0.5172141132075473,0.015122603773584905,0.1313540377358491
Wisconsin,293018.80521262,55.0,43.731144830589834,-88.98935508134431,4111.430727023319,841.290393251028,322.38555902606333,64753.38900172839,1467.830827517146,566.9678276406036,0.03483322359396433,0.12052244170096024,0.646634705075446,0.8949576406035661,38.55844917695476,40.19583267489713,0.6747861728395061,0.5079453497942382,0.011034074074074073,0.1015910425240056
Wyoming,294263.49333333335,56.0,42.64652375466666,-106.97396496666667,4607.693333333334,867.9498943999996,348.65316546666656,70948.22162146666,1382.5679424,404.83965333333333,0.033832266666666666,0.06312986666666667,0.5635756,0.9110973333333334,37.2020996,38.247776666666674,0.6829177333333335,0.5428007999999998,0.013829333333333332,0.11495733333333334
